No.,Time,Source,Destination,Protocol,Length,Info
111,68.561768,,00:04:00:04:00:04:00:04,IEEE 802.15.4,19,"Ack, Dst: LexmarkP_04:00:04:00:04"
112,69.07,00:03:00:03:00:03:00:03,00:01:00:01:00:01:00:01,IEEE 802.15.4,23,"Data, Dst: EquipTra_01:00:01:00:01, Src: Barracud_03:00:03:00:03"
113,69.071768,,00:03:00:03:00:03:00:03,IEEE 802.15.4,19,"Ack, Dst: Barracud_03:00:03:00:03"
114,69.09,fe80::202:2:2:2,fe80::203:3:3:3,ICMPv6,102,RPL Control (DODAG Information Object)
115,69.094296,,00:02:00:02:00:02:00:02,IEEE 802.15.4,19,"Ack, Dst: NetSys_02:00:02:00:02"
116,69.3,00:01:00:01:00:01:00:01,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: EquipTra_01:00:01:00:01"
117,69.6,fe80::207:7:7:7,fe80::203:3:3:3,ICMPv6,102,RPL Control (DODAG Information Object)
118,69.604296,,00:07:00:07:00:07:00:07,IEEE 802.15.4,19,"Ack, Dst: Zettamed_07:00:07:00:07"
119,69.75,fe80::204:4:4:4,ff02::1a,ICMPv6,96,RPL Control (DODAG Information Object)
120,70.28,fe80::202:2:2:2,fe80::203:3:3:3,ICMPv6,102,RPL Control (DODAG Information Object)
121,70.284296,,00:02:00:02:00:02:00:02,IEEE 802.15.4,19,"Ack, Dst: NetSys_02:00:02:00:02"
122,71.3,fe80::205:5:5:5,ff02::1a,ICMPv6,96,RPL Control (DODAG Information Object)
123,71.98,fe80::207:7:7:7,fe80::203:3:3:3,ICMPv6,102,RPL Control (DODAG Information Object)
124,71.984296,,00:07:00:07:00:07:00:07,IEEE 802.15.4,19,"Ack, Dst: Zettamed_07:00:07:00:07"
125,73.29,00:03:00:03:00:03:00:03,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: Barracud_03:00:03:00:03"
126,73.35,00:09:00:09:00:09:00:09,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: Tmt_09:00:09:00:09"
